ranking,titulo,anio,puntaje,genero,votos,direccion,duracion,ganancias
4106,The Woodsman,2004,7.2,Drama,29908,Nicole Kassell,87,0.04
4129,Pink,2016,8.2,Drama,29711,Aniruddha Roy Chowdhury,136,NA
4153,The Sweet Hereafter,1997,7.6,Drama,29449,Atom Egoyan,112,3.25
4170,Five Easy Pieces,1970,7.5,Drama,29261,Bob Rafelson,98,NA
4183,To the Bone,2017,6.9,Drama,29111,Marti Noxon,107,NA
4185,Mustang,2015,7.6,Drama,29094,Deniz Gamze Ergüven,97,0.85
4222,Efter brylluppet,2006,7.8,Drama,28750,Susanne Bier,120,0.41
4259,The Edge of Heaven,2007,7.8,Drama,28391,Fatih Akin,122,0.74
4291,Rumble Fish,1983,7.2,Drama,27988,Francis Ford Coppola,94,2.49
4304,The Accused,1988,7.1,Drama,27892,Jonathan Kaplan,111,32.07
4323,White Oleander,2002,7.2,Drama,27706,Peter Kosminsky,109,16.35
4330,Tyrannosaur,2011,7.6,Drama,27507,Paddy Considine,92,0.02
4363,Ken Park,2002,5.9,Drama,27072,Larry Clark,93,NA
4449,Things We Lost in the Fire,2007,7.2,Drama,26250,Susanne Bier,118,3.29
4505,99 Homes,2014,7.1,Drama,25568,Ramin Bahrani,112,1.41
4511,You Can Count on Me,2000,7.6,Drama,25512,Kenneth Lonergan,111,9.18
4521,The Man Without a Face,1993,6.7,Drama,25438,Mel Gibson,115,24.76
4530,Live Flesh,1997,7.4,Drama,25342,Pedro Almodóvar,103,1.54
4532,A Civil Action,1998,6.5,Drama,25321,Steven Zaillian,115,56.7
4552,Nell,1994,6.5,Drama,25081,Michael Apted,112,33.68
4571,What Maisie Knew,2012,7.5,Drama,24776,Scott McGehee,99,1.07
4592,Palo Alto,2013,6.2,Drama,24647,Gia Coppola,100,0.75
4595,On Golden Pond,1981,7.7,Drama,24579,Mark Rydell,109,119.29
4599,Cries and Whispers,1972,8.1,Drama,24561,Ingmar Bergman,91,NA
4627,The Magdalene Sisters,2002,7.8,Drama,24282,Peter Mullan,114,4.89
4654,The Kid with a Bike,2011,7.4,Drama,24050,Jean-Pierre Dardenne,87,1.38
4676,Le Mépris,1963,7.7,Drama,23851,Jean-Luc Godard,103,0.04
4680,Clouds of Sils Maria,2014,6.7,Drama,23817,Olivier Assayas,124,1.81
4707,A Love Song for Bobby Long,2004,7.2,Drama,23633,Shainee Gabel,119,0.16
4774,Speak,2004,7.3,Drama,22972,Jessica Sharzer,89,NA
4785,Marvin's Room,1996,6.7,Drama,22900,Jerry Zaks,98,12.78
4817,Jungfrukällan,1960,8.1,Drama,22661,Ingmar Bergman,89,NA
4833,Vivre Sa Vie,1962,8,Drama,22554,Jean-Luc Godard,83,NA
4874,The Secret Life of Bees,2008,7.3,Drama,22136,Gina Prince-Bythewood,114,37.77
4890,Il conformista,1970,8.1,Drama,21941,Bernardo Bertolucci,113,NA
4906,Jean de Florette,1986,8.1,Drama,21848,Claude Berri,120,4.94
4911,Welcome to the Rileys,2010,7,Drama,21783,Jake Scott,110,0.15
4945,The United States of Leland,2003,7.1,Drama,21575,Matthew Ryan Hoge,108,0.34
4994,You're Not You,2014,7.4,Drama,21226,George C. Wolfe,102,NA
4997,Anand,1971,8.8,Drama,21209,Hrishikesh Mukherjee,122,NA
5029,No,2012,7.4,Drama,21000,Pablo Larraín,118,2.34
5082,Manderlay,2005,7.4,Drama,20504,Lars von Trier,139,0.08
5095,Nelyubov,2017,7.7,Drama,20394,Andrey Zvyagintsev,127,0.57
5105,Dare mo shiranai,2004,8.1,Drama,20313,Hirokazu Koreeda,141,0.68
5111,Away from Her,2006,7.6,Drama,20253,Sarah Polley,110,4.57
5126,School Ties,1992,6.9,Drama,20152,Robert Mandel,106,14.72
5148,Fathers & Daughters,2015,7.1,Drama,20000,Gabriele Muccino,116,NA
5214,Hamlet,1990,6.8,Drama,19605,Franco Zeffirelli,135,20.71
5229,If....,1968,7.6,Drama,19499,Lindsay Anderson,111,NA
5237,Umberto D.,1952,8.2,Drama,19436,Vittorio De Sica,89,0.07
5290,The Sacrifice,1986,8.1,Drama,19072,Andrei Tarkovsky,149,0.3
5304,Vanity Fair,2004,6.2,Drama,18983,Mira Nair,141,16.14
5312,Såsom i en spegel,1961,8.1,Drama,18946,Ingmar Bergman,89,NA
5327,Il y a longtemps que je t'aime,2008,7.6,Drama,18856,Philippe Claudel,117,3.17
5352,Angela's Ashes,1999,7.3,Drama,18726,Alan Parker,145,13.04
5364,Manon des Sources,1986,8,Drama,18653,Claude Berri,113,3.94
5388,Lorenzo's Oil,1992,7.3,Drama,18503,George Miller,129,7.29
5405,Black Narcissus,1947,8,Drama,18414,Michael Powell,101,NA
5438,Pather Panchali,1955,8.5,Drama,18175,Satyajit Ray,125,0.54
5442,City Hall,1996,6.2,Drama,18139,Harold Becker,111,20.2
5443,Taste of Cherry,1997,7.7,Drama,18138,Abbas Kiarostami,95,0.31
5498,The Namesake,2006,7.5,Drama,17833,Mira Nair,122,8.66
5505,Nostalgia,1983,8.1,Drama,17818,Andrei Tarkovsky,125,0.01
5540,Nattvardsgästerna,1963,8.1,Drama,17603,Ingmar Bergman,81,NA
5600,Tape,2001,7.3,Drama,17332,Richard Linklater,86,0.49
5603,Love and Other Impossible Pursuits,2009,6.4,Drama,17327,Don Roos,102,0.02
5648,Courageous,2011,7,Drama,17157,Alex Kendrick,129,34.52
5668,Hud,1963,7.9,Drama,17049,Martin Ritt,112,10
5698,Akeelah and the Bee,2006,7.4,Drama,16852,Doug Atchison,112,18.81
5708,Masaan,2015,8.1,Drama,16815,Neeraj Ghaywan,109,NA
5720,Wonder Wheel,2017,6.2,Drama,16750,Woody Allen,101,1.4
5724,Juste la fin du monde,2016,6.9,Drama,16743,Xavier Dolan,97,NA
5728,Divine Secrets of the Ya-Ya Sisterhood,2002,6,Drama,16715,Callie Khouri,116,69.6
5739,Soshite chichi ni naru,2013,7.8,Drama,16650,Hirokazu Koreeda,121,0.28
5741,"Oslo, 31. august",2011,7.7,Drama,16627,Joachim Trier,95,0.1
